Timestamp,Magnitude,Steps,Header
0.0,21984,186,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 2, 'low_power': 0, 'bwf_mode': 0, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 6, 'index': 2, 'start_ts': 1735690009}"
0.08,22416,,
1.0,22048,,
1.08,22272,,
1.16,21920,,
1.24,21824,,
1.32,22576,,
1.4,19136,,
1.48,17488,,
1.56,24016,,
1.64,31824,,
1.72,29264,,
1.8,29248,,
1.88,28048,,
1.96,26656,,
2.0,24352,,
2.08,19920,,
2.16,22672,,
2.24,29312,,
2.32,35840,,
2.4,35488,,
2.48,26720,,
2.56,25328,,
2.64,25600,,
2.72,22896,,
2.8,27888,,
2.88,35920,,
3.0,29408,,
3.08,30480,,
3.16,27568,,
3.24,31152,,
3.32,41424,,
3.4,32928,,
3.48,23872,,
3.56,18112,,
3.64,15152,,
3.72,19488,,
3.8,24624,,
3.88,26192,,
3.96,22448,,
4.0,22528,,
4.08,19824,,
4.16,29504,,
4.24,33264,,
4.32,32544,,
4.4,29792,,
4.48,26160,,
4.56,17200,,
4.64,8144,,
4.72,25392,,
4.8,42624,,
4.88,49648,,
5.0,33760,,
5.08,28368,,
5.16,24752,,
5.24,27712,,
5.32,24832,,
5.4,35136,,
5.48,31760,,
5.56,33616,,
5.64,25600,,
5.72,21232,,
5.8,19968,,
5.88,23664,,
5.96,29472,,
6.0,26432,,
6.08,24144,,
6.16,23776,,
6.24,22592,,
6.32,24064,,
6.4,26064,,
6.48,29216,,
6.56,33728,,
6.64,28000,,
6.72,29072,,
6.8,25744,,
6.88,23248,,
7.0,20592,,
7.08,21200,,
7.16,29312,,
7.24,26336,,
7.32,25184,,
7.4,27344,,
7.48,22912,,
7.56,23024,,
7.64,24400,,
7.72,26080,,
7.8,35488,,
7.88,35712,,
8.0,26416,,
8.08,22784,,
8.16,19856,,
8.24,20512,,
8.32,22640,,
8.4,29648,,
8.48,29248,,
8.56,26528,,
8.64,24736,,
8.72,24288,,
8.8,24496,,
8.88,27216,,
9.0,35520,,
9.08,51008,,
9.16,54848,,
9.24,44896,,
9.32,20432,,
9.4,3568,,
9.48,12304,,
9.56,23120,,
9.64,29936,,
9.72,26304,,
9.8,25696,,
9.88,21584,,
10.0,20912,,
10.08,28896,,
10.16,31888,,
10.24,35424,,
10.32,31520,,
10.4,18464,,
10.48,13648,,
10.56,25360,,
10.64,28000,,
10.72,36528,,
10.8,44256,,
10.88,35280,,
11.0,25664,,
11.08,23360,,
11.16,23536,,
11.24,29072,,
11.32,34240,,
11.4,28976,,
11.48,29872,,
11.56,23584,,
11.64,20256,,
11.72,18288,,
11.8,21536,,
11.88,33584,,
12.0,26880,,
12.08,24544,,
12.16,21264,,
12.24,21408,,
12.32,24240,,
12.4,28784,,
12.48,33472,,
12.56,30400,,
12.64,28800,,
12.72,22592,,
12.8,31328,,
12.88,50896,,
13.0,37296,,
13.08,18368,,
13.16,11504,,
13.24,14944,,
13.32,20224,,
13.4,21632,,
13.48,24576,,
13.56,28848,,
13.64,34496,,
13.72,26720,,
13.8,24240,,
13.88,20800,,
14.0,16512,,
14.08,17632,,
14.16,20736,,
14.24,27312,,
14.32,40848,,
14.4,32528,,
14.48,27392,,
14.56,29008,,
14.64,16480,,
14.72,17408,,
14.8,16592,,
14.88,31792,,
15.0,37152,,
15.08,24112,,
15.16,19312,,
15.24,19664,,
15.32,20544,,
15.4,25952,,
15.48,28384,,
15.56,22640,,
15.64,21344,,
15.72,26336,,
15.8,28368,,
15.88,26016,,
16.0,25760,,
16.08,28448,,
16.16,31776,,
16.24,29104,,
16.32,27312,,
16.4,22896,,
16.48,22320,,
16.56,22144,,
16.64,23168,,
16.72,20832,,
16.8,29904,,
16.88,29328,,
17.0,26640,,
17.08,26800,,
17.16,27024,,
17.24,24576,,
17.32,24160,,
17.4,24544,,
17.48,18800,,
17.56,30688,,
17.64,28160,,
17.72,25488,,
17.8,22256,,
17.88,23328,,
18.0,25072,,
18.08,23984,,
18.16,21984,,
18.24,30832,,
18.32,34800,,
18.4,28416,,
18.48,23520,,
18.56,20144,,
18.64,19152,,
18.72,22400,,
18.8,23568,,
18.88,23440,,
18.96,23088,,
19.0,23120,,
19.08,22448,,
19.16,23456,,
19.24,25520,,
19.32,27840,,
19.4,32896,,
19.48,28624,,
19.56,25776,,
19.64,24928,,
19.72,24560,,
19.8,25808,,
19.88,26752,,
20.0,25440,,
20.08,25296,,
20.16,26736,,
20.24,34912,,
20.32,31312,,
20.4,17840,,
20.48,21344,,
20.56,19456,,
20.64,21808,,
20.72,18688,,
20.8,31760,,
20.88,36144,,
20.96,28032,,
21.0,23904,,
21.08,20592,,
21.16,20848,,
21.24,26800,,
21.32,34384,,
21.4,29760,,
21.48,22864,,
21.56,23984,,
21.64,21984,,
21.72,27152,,
21.8,24752,,
21.88,31760,,
22.0,34496,,
22.08,29024,,
22.16,23376,,
22.24,22080,,
22.32,21984,,
22.4,24592,,
22.48,28464,,
22.56,25120,,
22.64,24624,,
22.72,24976,,
22.8,23248,,
22.88,29472,,
22.96,27648,,
23.0,37424,,
23.08,29888,,
23.16,26048,,
23.24,22144,,
23.32,22240,,
23.4,27440,,
23.48,24384,,
23.56,26624,,
23.64,23152,,
23.72,24048,,
23.8,23216,,
23.88,24960,,
24.0,26688,,
24.08,33392,,
24.16,33888,,
24.24,28288,,
24.32,23952,,
24.4,22752,,
24.48,21344,,
24.56,30672,,
24.64,29568,,
24.72,26112,,
24.8,24192,,
24.88,23264,,
24.96,22624,,
25.0,20784,,
25.08,27712,,
25.16,37008,,
25.24,27872,,
25.32,27280,,
25.4,22800,,
25.48,22736,,
25.56,20752,,
25.64,30672,,
25.72,29088,,
25.8,23776,,
25.88,26304,,
26.0,24240,,
26.08,22752,,
26.16,27056,,
26.24,24608,,
26.32,33664,,
26.4,29696,,
26.48,27776,,
26.56,23456,,
26.64,22448,,
26.72,22976,,
26.8,20000,,
26.88,26672,,
26.96,25360,,
27.0,24480,,
27.08,22896,,
27.16,22336,,
27.24,21632,,
27.32,28064,,
27.4,34032,,
27.48,24304,,
27.56,26576,,
27.64,22448,,
27.72,22960,,
27.8,24464,,
27.88,24752,,
28.0,24800,,
28.08,23152,,
28.16,24560,,
28.24,22576,,
28.32,22832,,
28.4,29408,,
28.48,26288,,
28.56,32672,,
28.64,30192,,
28.72,24832,,
28.8,21248,,
28.88,21520,,
28.96,20896,,
29.0,27264,,
29.08,30896,,
29.16,23904,,
29.24,23088,,
29.32,20224,,
29.4,22032,,
29.48,25328,,
29.56,27088,,
