Timestamp,Magnitude,Steps,Header
0.0,17920,98,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 2, 'low_power': 0, 'bwf_mode': 0, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 6, 'index': 2, 'start_ts': 1735689838}"
0.08,22416,,
0.16,21504,,
0.24,21232,,
0.32,21600,,
0.4,21216,,
0.48,21712,,
0.56,21584,,
0.64,21936,,
0.72,21648,,
0.8,21440,,
0.88,21632,,
0.96,21360,,
1.0,21632,,
1.08,21392,,
1.16,21968,,
1.24,21616,,
1.32,21680,,
1.4,23856,,
1.48,20144,,
1.56,17488,,
1.64,22176,,
1.72,25472,,
1.8,26208,,
1.88,29008,,
2.0,28000,,
2.08,27760,,
2.16,25392,,
2.24,25312,,
2.32,25616,,
2.4,25504,,
2.48,26368,,
2.56,25280,,
2.64,23328,,
2.72,26560,,
2.8,22880,,
2.88,24096,,
2.96,25280,,
3.0,22496,,
3.08,25008,,
3.16,22944,,
3.24,23216,,
3.32,23568,,
3.4,24544,,
3.48,23552,,
3.56,23472,,
3.64,23360,,
3.72,23408,,
3.8,23616,,
3.88,26256,,
4.0,24576,,
4.08,23872,,
4.16,23904,,
4.24,25104,,
4.32,24736,,
4.4,24800,,
4.48,23984,,
4.56,26768,,
4.64,24688,,
4.72,24224,,
4.8,24000,,
4.88,24976,,
4.96,25600,,
5.0,25232,,
5.08,24560,,
5.16,25920,,
5.24,27040,,
5.32,27168,,
5.4,25264,,
5.48,23920,,
5.56,26704,,
5.64,26400,,
5.72,23200,,
5.8,21456,,
5.88,14320,,
6.0,24464,,
6.08,30272,,
6.16,30416,,
6.24,23456,,
6.32,23424,,
6.4,22944,,
6.48,23216,,
6.56,22320,,
6.64,21664,,
6.72,21104,,
6.8,22256,,
6.88,24768,,
6.96,27136,,
7.0,29664,,
7.08,23920,,
7.16,22992,,
7.24,23568,,
7.32,23952,,
7.4,23552,,
7.48,23536,,
7.56,22016,,
7.64,21728,,
7.72,22896,,
7.8,23760,,
7.88,26384,,
8.0,26448,,
8.08,25200,,
8.16,23792,,
8.24,26704,,
8.32,25584,,
8.4,24208,,
8.48,21504,,
8.56,28352,,
8.64,30144,,
8.72,21632,,
8.8,22368,,
8.88,24384,,
8.96,22768,,
9.0,23664,,
9.08,23840,,
9.16,25024,,
9.24,24816,,
9.32,24752,,
9.4,24048,,
9.48,23344,,
9.56,29664,,
9.64,25776,,
9.72,22544,,
9.8,20176,,
9.88,21232,,
