Timestamp,Magnitude,Steps,Header
0.0,20688,112,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 2, 'low_power': 0, 'bwf_mode': 0, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 6, 'index': 1, 'start_ts': 1735689622}"
0.08,19200,,
0.16,19120,,
1.0,20192,,
1.08,19920,,
1.16,18992,,
1.24,18064,,
1.32,15936,,
1.4,15568,,
1.48,21632,,
1.56,25984,,
1.64,28000,,
1.72,26080,,
1.8,26160,,
1.88,24448,,
1.96,20992,,
2.0,16976,,
2.08,24000,,
2.16,26720,,
2.24,31104,,
2.32,29664,,
2.4,30192,,
2.48,25808,,
2.56,24320,,
2.64,23344,,
2.72,22672,,
2.8,24768,,
2.88,26672,,
3.0,32016,,
3.08,31280,,
3.16,28880,,
3.24,29728,,
3.32,24960,,
3.4,25136,,
3.48,47616,,
3.56,35248,,
3.64,21456,,
3.72,16816,,
3.8,17040,,
3.88,18192,,
3.96,22208,,
4.0,25088,,
4.08,22416,,
4.16,23376,,
4.24,24320,,
4.32,21904,,
4.4,22496,,
4.48,26384,,
4.56,26032,,
4.64,27888,,
4.72,25424,,
4.8,20656,,
4.88,20672,,
5.0,19936,,
5.08,19616,,
5.16,19696,,
5.24,18816,,
5.32,17696,,
5.4,24128,,
5.48,32224,,
5.56,35216,,
5.64,30016,,
5.72,26640,,
5.8,25392,,
5.88,24192,,
5.96,24192,,
6.0,22800,,
6.08,25152,,
6.16,33280,,
6.24,28800,,
6.32,17984,,
6.4,21104,,
6.48,22432,,
6.56,23232,,
6.64,24048,,
6.72,24720,,
6.8,24944,,
6.88,25088,,
7.0,29968,,
7.08,31424,,
7.16,20496,,
7.24,21056,,
7.32,24320,,
7.4,20720,,
7.48,21360,,
7.56,21568,,
7.64,21456,,
7.72,23584,,
7.8,25568,,
7.88,34032,,
7.96,25936,,
8.0,26000,,
8.08,26512,,
8.16,25632,,
8.24,23232,,
8.32,21440,,
8.4,21168,,
8.48,22288,,
8.56,29280,,
8.64,33120,,
8.72,23456,,
8.8,21936,,
8.88,20224,,
9.0,20240,,
9.08,21872,,
9.16,21936,,
9.24,23200,,
9.32,26672,,
9.4,36016,,
9.48,28240,,
9.56,29504,,
9.64,25120,,
9.72,22432,,
9.8,19040,,
9.88,18704,,
9.96,20592,,
10.0,27696,,
10.08,35440,,
10.16,28464,,
10.24,23040,,
10.32,20976,,
10.4,20880,,
10.48,21872,,
10.56,21296,,
10.64,21648,,
10.72,26976,,
10.8,34864,,
10.88,27120,,
11.0,28080,,
11.08,25424,,
11.16,22848,,
11.24,21472,,
11.32,21744,,
11.4,22480,,
11.48,28896,,
11.56,32384,,
11.64,26128,,
11.72,24288,,
11.8,21088,,
11.88,21440,,
11.96,22080,,
12.0,22176,,
12.08,23696,,
12.16,26048,,
12.24,35296,,
12.32,27712,,
12.4,29008,,
12.48,28000,,
12.56,26688,,
12.64,24352,,
12.72,24816,,
12.8,25328,,
12.88,23792,,
13.0,23216,,
13.08,28592,,
13.16,26576,,
13.24,24320,,
13.32,27088,,
13.4,29936,,
13.48,27648,,
13.56,20944,,
13.64,24864,,
13.72,24800,,
13.8,23696,,
13.88,26816,,
14.0,27360,,
14.08,24384,,
14.16,27296,,
14.24,26336,,
14.32,27584,,
14.4,32336,,
14.48,36480,,
14.56,37760,,
14.64,30240,,
14.72,19488,,
14.8,19744,,
14.88,18960,,
15.0,22896,,
15.08,24512,,
15.16,25776,,
15.24,25744,,
15.32,25696,,
15.4,26496,,
15.48,26368,,
15.56,25504,,
15.64,25280,,
15.72,25888,,
15.8,25984,,
15.88,25584,,
16.0,25008,,
16.08,26176,,
16.16,25680,,
16.24,25568,,
16.32,25456,,
16.4,25456,,
16.48,24368,,
16.56,24896,,
16.64,27344,,
16.72,25712,,
16.8,24336,,
16.88,22640,,
17.0,24944,,
17.08,24112,,
17.16,22864,,
17.24,24880,,
17.32,23104,,
17.4,22960,,
17.48,22752,,
17.56,22752,,
17.64,24128,,
17.72,23216,,
17.8,22624,,
17.88,23696,,
18.0,22912,,
18.08,23216,,
18.16,23136,,
18.24,22704,,
18.32,23808,,
18.4,23168,,
18.48,22288,,
18.56,23712,,
18.64,23136,,
18.72,22128,,
18.8,23184,,
18.88,22896,,
19.0,22608,,
19.08,21968,,
19.16,29008,,
19.24,19072,,
19.32,18096,,
19.4,26208,,
19.48,31872,,
19.56,36800,,
19.64,38624,,
19.72,33712,,
19.8,27120,,
19.88,26208,,
20.0,24640,,
20.08,26976,,
20.16,27488,,
20.24,25248,,
20.32,26336,,
20.4,28592,,
20.48,29696,,
20.56,24576,,
20.64,28160,,
20.72,25952,,
20.8,25744,,
20.88,24768,,
21.0,21968,,
21.08,20032,,
21.16,24032,,
21.24,24256,,
21.32,26016,,
21.4,32880,,
21.48,30224,,
21.56,31392,,
21.64,27424,,
21.72,25424,,
