Timestamp,Magnitude,Steps,Header
0.0,21344,238,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 2, 'low_power': 0, 'bwf_mode': 0, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 6, 'index': 1, 'start_ts': 1735689632}"
0.08,21408,,
0.16,20992,,
0.24,21408,,
1.0,20880,,
1.08,22128,,
1.16,24912,,
1.24,25296,,
1.32,22800,,
1.4,20512,,
1.48,19216,,
1.56,18448,,
1.64,23616,,
1.72,26512,,
1.8,25648,,
1.88,28624,,
2.0,25424,,
2.08,29312,,
2.16,39168,,
2.24,32160,,
2.32,23392,,
2.4,19968,,
2.48,22304,,
2.56,18464,,
2.64,23152,,
2.72,25232,,
2.8,25824,,
2.88,28176,,
3.0,28832,,
3.08,27952,,
3.16,27344,,
3.24,27840,,
3.32,25744,,
3.4,28848,,
3.48,28896,,
3.56,28816,,
3.64,27664,,
3.72,28176,,
3.8,25920,,
3.88,25936,,
4.0,24880,,
4.08,24064,,
4.16,23648,,
4.24,28128,,
4.32,27952,,
4.4,22688,,
4.48,27808,,
4.56,30656,,
4.64,26768,,
4.72,23136,,
4.8,29264,,
4.88,28080,,
5.0,26592,,
5.08,28256,,
5.16,27456,,
5.24,28000,,
5.32,26912,,
5.4,27056,,
5.48,27408,,
5.56,26816,,
5.64,27888,,
5.72,27008,,
5.8,27984,,
5.88,28048,,
5.96,27904,,
6.0,26704,,
6.08,27104,,
6.16,27792,,
6.24,27520,,
6.32,27504,,
6.4,26016,,
6.48,24112,,
6.56,24880,,
6.64,31104,,
6.72,25440,,
6.8,26512,,
6.88,25440,,
7.0,22704,,
7.08,21376,,
7.16,22576,,
7.24,22880,,
7.32,17824,,
7.4,21248,,
7.48,25312,,
7.56,28624,,
7.64,31360,,
7.72,42640,,
7.8,35088,,
7.88,18144,,
7.96,12192,,
8.0,12848,,
8.08,14640,,
8.16,18640,,
8.24,20016,,
8.32,37840,,
8.4,28672,,
8.48,17376,,
8.56,9184,,
8.64,12624,,
8.72,13920,,
8.8,18704,,
8.88,42544,,
9.0,33712,,
9.08,35200,,
9.16,44576,,
9.24,42368,,
9.32,53632,,
9.4,49312,,
9.48,28016,,
9.56,23024,,
9.64,20688,,
9.72,30304,,
9.8,37840,,
9.88,30624,,
9.96,25920,,
10.0,31360,,
10.08,35664,,
10.16,45888,,
10.24,46880,,
10.32,42208,,
10.4,26912,,
10.48,23696,,
10.56,20224,,
10.64,29568,,
10.72,36720,,
10.8,37904,,
10.88,29520,,
11.0,31920,,
11.08,36560,,
11.16,52912,,
11.24,51120,,
11.32,36656,,
11.4,27840,,
11.48,19328,,
11.56,22688,,
11.64,32496,,
11.72,33408,,
11.8,33376,,
11.88,29200,,
11.96,34112,,
12.0,40736,,
12.08,51200,,
12.16,47520,,
12.24,25360,,
12.32,25264,,
12.4,21872,,
12.48,24416,,
12.56,34768,,
12.64,32064,,
12.72,23760,,
12.8,29152,,
12.88,33472,,
13.0,56016,,
13.08,43424,,
13.16,30672,,
13.24,23904,,
13.32,24704,,
13.4,29648,,
13.48,34080,,
13.56,29584,,
13.64,26688,,
13.72,30064,,
13.8,33936,,
13.88,41696,,
14.0,51872,,
14.08,29664,,
14.16,28128,,
14.24,23712,,
14.32,24496,,
14.4,26480,,
14.48,31776,,
14.56,31200,,
14.64,32432,,
14.72,37376,,
14.8,40800,,
14.88,47760,,
15.0,59008,,
15.08,61536,,
15.16,45616,,
15.24,19968,,
15.32,8928,,
15.4,23616,,
15.48,20416,,
15.56,15440,,
15.64,12400,,
15.72,16976,,
15.8,21872,,
15.88,40592,,
16.0,10464,,
16.08,4416,,
16.16,24112,,
16.24,45296,,
16.32,81232,,
16.4,43392,,
16.48,22416,,
16.56,31632,,
16.64,26128,,
16.72,49296,,
16.8,53664,,
16.88,41856,,
17.0,33024,,
17.08,25328,,
17.16,22192,,
17.24,32912,,
17.32,37952,,
17.4,35424,,
17.48,28336,,
17.56,36320,,
17.64,37424,,
17.72,44576,,
17.8,50800,,
17.88,32432,,
18.0,28032,,
18.08,19856,,
18.16,26032,,
18.24,39216,,
18.32,46368,,
18.4,26576,,
18.48,26496,,
18.56,26544,,
18.64,39536,,
18.72,35440,,
18.8,45456,,
18.88,25376,,
18.96,22080,,
19.0,21408,,
19.08,44544,,
19.16,39600,,
19.24,20464,,
19.32,20064,,
19.4,29024,,
19.48,39488,,
19.56,57088,,
19.64,49808,,
19.72,22480,,
19.8,22304,,
19.88,17776,,
20.0,26016,,
20.08,34192,,
20.16,38592,,
20.24,26224,,
20.32,31712,,
20.4,33472,,
20.48,51456,,
20.56,36880,,
20.64,24720,,
20.72,14096,,
20.8,19552,,
20.88,23040,,
20.96,45088,,
21.0,35872,,
21.08,27856,,
21.16,15968,,
21.24,21088,,
21.32,32752,,
21.4,49792,,
21.48,47856,,
21.56,26432,,
21.64,18256,,
21.72,21168,,
21.8,35616,,
21.88,39888,,
22.0,32928,,
22.08,19424,,
22.16,21024,,
22.24,29728,,
22.32,42608,,
22.4,45824,,
22.48,42656,,
22.56,23952,,
22.64,20672,,
22.72,23760,,
22.8,34160,,
22.88,32768,,
22.96,28864,,
23.0,25824,,
23.08,35664,,
23.16,38704,,
23.24,53136,,
23.32,45216,,
23.4,25888,,
23.48,24640,,
23.56,23296,,
23.64,25440,,
23.72,30800,,
23.8,35280,,
23.88,26640,,
24.0,26128,,
24.08,32688,,
