Timestamp,Magnitude,Steps,Header
0.0,19137,254,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 2, 'low_power': 0, 'bwf_mode': 0, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689706}"
0.08,18910,,
1.0,18595,,
1.08,20173,,
1.16,19373,,
1.24,15456,,
1.32,29739,,
1.4,27247,,
1.48,24708,,
1.56,23833,,
1.64,23835,,
1.72,21943,,
1.8,25636,,
1.88,23664,,
1.96,23330,,
2.0,22923,,
2.08,20475,,
2.16,15895,,
2.24,16828,,
2.32,17924,,
2.4,34087,,
2.48,33735,,
2.56,29985,,
2.64,22636,,
2.72,19602,,
2.8,19658,,
2.88,21060,,
3.0,23392,,
3.08,30633,,
3.16,41098,,
3.24,40774,,
3.32,24854,,
3.4,20568,,
3.48,18242,,
3.56,20063,,
3.64,32229,,
3.72,34041,,
3.8,33642,,
3.88,20054,,
3.96,22128,,
4.0,23799,,
4.08,27595,,
4.16,39242,,
4.24,47309,,
4.32,30315,,
4.4,22491,,
4.48,18664,,
4.56,18775,,
4.64,28356,,
4.72,29888,,
4.8,31828,,
4.88,23301,,
5.0,22868,,
5.08,25298,,
5.16,29099,,
5.24,39140,,
5.32,37877,,
5.4,28023,,
5.48,36816,,
5.56,32406,,
5.64,23632,,
5.72,17986,,
5.8,18257,,
5.88,10895,,
5.96,6577,,
6.0,14316,,
6.08,24638,,
6.16,45096,,
6.24,28181,,
6.32,7938,,
6.4,5707,,
6.48,15272,,
6.56,21180,,
6.64,38453,,
6.72,33869,,
6.8,9956,,
6.88,14067,,
7.0,37420,,
7.08,40374,,
7.16,34233,,
7.24,15281,,
7.32,7150,,
7.4,13641,,
7.48,29946,,
7.56,30275,,
7.64,20444,,
7.72,12927,,
7.8,9874,,
7.88,24531,,
7.96,43215,,
8.0,49343,,
8.08,19983,,
8.16,4683,,
8.24,5084,,
8.32,19109,,
8.4,43981,,
8.48,43940,,
8.56,25630,,
8.64,19615,,
8.72,26286,,
8.8,33129,,
8.88,43546,,
9.0,42903,,
9.08,27013,,
9.16,21141,,
9.24,19768,,
9.32,26339,,
9.4,29979,,
9.48,41711,,
9.56,21768,,
9.64,22792,,
9.72,27847,,
9.8,40721,,
9.88,42146,,
10.0,22419,,
10.08,19523,,
10.16,22420,,
10.24,29966,,
10.32,36997,,
10.4,20728,,
10.48,24835,,
10.56,31327,,
10.64,46640,,
10.72,42175,,
10.8,27587,,
10.88,19407,,
11.0,18583,,
11.08,26414,,
11.16,34118,,
11.24,33165,,
11.32,24421,,
11.4,24724,,
11.48,29164,,
11.56,39469,,
11.64,31314,,
11.72,21840,,
11.8,17988,,
11.88,21094,,
12.0,31022,,
12.08,26982,,
12.16,9756,,
12.24,14756,,
12.32,25532,,
12.4,43743,,
12.48,33743,,
12.56,12347,,
12.64,11097,,
12.72,19681,,
12.8,35379,,
12.88,30247,,
13.0,23304,,
13.08,4791,,
13.16,13798,,
13.24,24416,,
13.32,39095,,
13.4,40004,,
13.48,20168,,
13.56,10876,,
13.64,17842,,
13.72,29982,,
13.8,45348,,
13.88,27030,,
14.0,12746,,
14.08,7326,,
14.16,17478,,
14.24,23521,,
14.32,46135,,
14.4,46226,,
14.48,35863,,
14.56,36685,,
14.64,20038,,
14.72,18481,,
14.8,17777,,
14.88,25477,,
14.96,10268,,
15.0,7822,,
15.08,22013,,
15.16,29962,,
15.24,30399,,
15.32,19865,,
15.4,12392,,
15.48,11040,,
15.56,23068,,
15.64,36488,,
15.72,40819,,
15.8,21511,,
15.88,9134,,
16.0,11989,,
16.08,25755,,
16.16,26571,,
16.24,29844,,
16.32,11137,,
16.4,11295,,
16.48,11938,,
16.56,25037,,
16.64,32235,,
16.72,38025,,
16.8,26694,,
16.88,25395,,
16.96,25868,,
17.0,36041,,
17.08,34062,,
17.16,33849,,
17.24,24431,,
17.32,25728,,
17.4,28436,,
17.48,31287,,
17.56,25819,,
17.64,19584,,
17.72,19470,,
17.8,29793,,
17.88,39831,,
18.0,34264,,
18.08,26553,,
18.16,19149,,
18.24,22883,,
18.32,27796,,
18.4,32500,,
18.48,28305,,
18.56,18379,,
18.64,19821,,
18.72,26505,,
18.8,40072,,
18.88,35320,,
18.96,26855,,
19.0,18990,,
19.08,23783,,
19.16,28260,,
19.24,31367,,
19.32,27188,,
19.4,20339,,
19.48,19111,,
19.56,27823,,
19.64,37483,,
19.72,35537,,
19.8,29482,,
19.88,17994,,
20.0,20419,,
20.08,28486,,
20.16,32675,,
20.24,26164,,
20.32,17959,,
20.4,18154,,
20.48,26320,,
20.56,39331,,
20.64,36947,,
20.72,25980,,
20.8,13859,,
20.88,21592,,
21.0,32467,,
21.08,26204,,
21.16,14541,,
21.24,18049,,
21.32,28033,,
21.4,44523,,
21.48,40509,,
21.56,22254,,
21.64,17537,,
21.72,21941,,
21.8,29546,,
21.88,29784,,
22.0,26756,,
22.08,16795,,
22.16,22912,,
22.24,28273,,
22.32,47669,,
22.4,39251,,
22.48,18193,,
22.56,17783,,
22.64,23004,,
22.72,31532,,
22.8,29155,,
22.88,24460,,
23.0,21380,,
23.08,27960,,
23.16,42540,,
23.24,34506,,
23.32,18314,,
23.4,13566,,
23.48,19794,,
23.56,29799,,
23.64,37560,,
23.72,30032,,
23.8,14599,,
23.88,17525,,
24.0,26571,,
24.08,38280,,
24.16,33638,,
24.24,23847,,
24.32,16144,,
24.4,19740,,
24.48,27362,,
24.56,37842,,
24.64,27335,,
24.72,12916,,
24.8,16030,,
24.88,23609,,
25.0,33147,,
25.08,31996,,
25.16,23717,,
25.24,10955,,
25.32,16184,,
25.4,30964,,
25.48,46904,,
25.56,25401,,
25.64,15431,,
25.72,14424,,
25.8,23238,,
25.88,30989,,
25.96,36055,,
26.0,31170,,
26.08,14537,,
26.16,19441,,
26.24,28055,,
26.32,38608,,
26.4,29376,,
26.48,19484,,
26.56,15197,,
26.64,21209,,
26.72,29544,,
26.8,41854,,
26.88,38394,,
27.0,17522,,
27.08,17701,,
27.16,23654,,
27.24,35101,,
27.32,27707,,
27.4,24868,,
27.48,14422,,
27.56,19121,,
27.64,24095,,
27.72,32827,,
27.8,34958,,
27.88,37681,,
27.96,20918,,
28.0,19333,,
28.08,18320,,
28.16,22509,,
28.24,28327,,
28.32,29719,,
28.4,22352,,
28.48,20586,,
28.56,22226,,
28.64,24593,,
28.72,26774,,
28.8,35470,,
28.88,27450,,
29.0,30178,,
29.08,26524,,
29.16,18510,,
29.24,17047,,
29.32,16142,,
29.4,19604,,
29.48,36910,,
29.56,34847,,
29.64,25429,,
29.72,18245,,
29.8,17424,,
29.88,19676,,
29.96,21418,,
30.0,26492,,
30.08,33294,,
30.16,33554,,
30.24,48896,,
30.32,41229,,
30.4,22477,,
30.48,4675,,
30.56,6968,,
30.64,11202,,
30.72,30192,,
30.8,23733,,
30.88,18394,,
31.0,16543,,
31.08,17396,,
31.16,22527,,
31.24,28853,,
31.32,36692,,
31.4,45733,,
31.48,29198,,
31.56,12496,,
31.64,13384,,
31.72,10836,,
31.8,29089,,
31.88,39650,,
32.0,23245,,
32.08,17527,,
32.16,22130,,
32.24,27850,,
32.32,38279,,
32.4,38163,,
32.48,21947,,
32.56,21000,,
32.64,19280,,
32.72,23320,,
32.8,29799,,
32.88,30150,,
33.0,22487,,
33.08,19159,,
33.16,20387,,
33.24,24929,,
33.32,35901,,
33.4,30585,,
33.48,30583,,
33.56,26939,,
33.64,23573,,
33.72,20716,,
33.8,17115,,
33.88,17595,,
34.0,31734,,
34.08,27436,,
34.16,24841,,
34.24,20660,,
34.32,20113,,
34.4,20310,,
34.48,20785,,
34.56,22921,,
34.64,35819,,
34.72,27472,,
34.8,24572,,
34.88,25631,,
35.0,24051,,
35.08,20218,,
35.16,17725,,
35.24,17898,,
35.32,25395,,
35.4,33815,,
35.48,26548,,
35.56,23179,,
35.64,19637,,
35.72,19406,,
35.8,20645,,
35.88,20161,,
36.0,33330,,
36.08,27161,,
36.16,26463,,
36.24,27342,,
36.32,24623,,
36.4,20754,,
