Timestamp,Magnitude,Steps,Header
0.0,19148,260,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 2, 'low_power': 0, 'bwf_mode': 0, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689668}"
1.0,19814,,
1.08,19339,,
1.16,19927,,
1.24,19417,,
1.32,19769,,
1.4,19621,,
1.48,19688,,
1.56,19500,,
1.64,19563,,
1.72,19465,,
1.8,19613,,
1.88,19222,,
1.96,19447,,
2.0,22408,,
2.08,17049,,
2.16,15146,,
2.24,26472,,
2.32,26284,,
2.4,22317,,
2.48,22180,,
2.56,23000,,
2.64,24512,,
2.72,22931,,
2.8,23429,,
2.88,23702,,
3.0,17884,,
3.08,19594,,
3.16,19951,,
3.24,18049,,
3.32,20149,,
3.4,19964,,
3.48,18505,,
3.56,17682,,
3.64,16135,,
3.72,11938,,
3.8,12380,,
3.88,27410,,
3.96,41100,,
4.0,38142,,
4.08,20850,,
4.16,15665,,
4.24,22181,,
4.32,33118,,
4.4,42422,,
4.48,36055,,
4.56,21741,,
4.64,17558,,
4.72,19519,,
4.8,28417,,
4.88,26385,,
5.0,24509,,
5.08,21025,,
5.16,26001,,
5.24,34823,,
5.32,43151,,
5.4,35705,,
5.48,26515,,
5.56,20017,,
5.64,23903,,
5.72,22207,,
5.8,23766,,
5.88,22938,,
6.0,25315,,
6.08,34133,,
6.16,35880,,
6.24,33963,,
6.32,32458,,
6.4,21315,,
6.48,24159,,
6.56,21703,,
6.64,23822,,
6.72,24171,,
6.8,22596,,
6.88,23648,,
7.0,33158,,
7.08,36455,,
7.16,35843,,
7.24,33671,,
7.32,21163,,
7.4,20959,,
7.48,19115,,
7.56,24001,,
7.64,26238,,
7.72,22765,,
7.8,24293,,
7.88,30820,,
8.0,36426,,
8.08,27310,,
8.16,19570,,
8.24,24644,,
8.32,21867,,
8.4,25241,,
8.48,24023,,
8.56,21259,,
8.64,26433,,
8.72,32627,,
8.8,44684,,
8.88,35824,,
9.0,23690,,
9.08,20688,,
9.16,21891,,
9.24,20881,,
9.32,24353,,
9.4,23613,,
9.48,21087,,
9.56,27491,,
9.64,35445,,
9.72,43387,,
9.8,35990,,
9.88,20435,,
10.0,20503,,
10.08,21612,,
10.16,21252,,
10.24,24623,,
