Timestamp,Magnitude,Steps,Header
0.0,20280,132,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 2, 'low_power': 0, 'bwf_mode': 0, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689712}"
0.08,20356,,
0.16,20213,,
0.24,20376,,
0.32,20580,,
0.4,20162,,
1.0,20284,,
1.08,20573,,
1.16,21626,,
1.24,22190,,
1.32,22277,,
1.4,21668,,
1.48,19486,,
1.56,19653,,
1.64,19938,,
1.72,18805,,
1.8,20239,,
1.88,20953,,
2.0,21385,,
2.08,16660,,
2.16,20977,,
2.24,21319,,
2.32,23350,,
2.4,26381,,
2.48,20702,,
2.56,27038,,
2.64,28859,,
2.72,26942,,
2.8,26019,,
2.88,19862,,
3.0,19134,,
3.08,15753,,
3.16,19870,,
3.24,21275,,
3.32,20980,,
3.4,22209,,
3.48,23536,,
3.56,22757,,
3.64,24098,,
3.72,22180,,
3.8,21702,,
3.88,22352,,
4.0,21982,,
4.08,22666,,
4.16,21867,,
4.24,21371,,
4.32,24810,,
4.4,22962,,
4.48,22248,,
4.56,22078,,
4.64,21534,,
4.72,22959,,
4.8,21016,,
4.88,22853,,
5.0,21865,,
5.08,23106,,
5.16,22585,,
5.24,21746,,
5.32,23288,,
5.4,20541,,
5.48,20605,,
5.56,23982,,
5.64,21393,,
5.72,22264,,
5.8,22159,,
5.88,25240,,
6.0,21394,,
6.08,16769,,
6.16,33386,,
6.24,18431,,
6.32,20952,,
6.4,21750,,
6.48,19157,,
6.56,25016,,
6.64,28876,,
6.72,22324,,
6.8,18721,,
6.88,16674,,
7.0,13535,,
7.08,15927,,
7.16,27033,,
7.24,39585,,
7.32,31721,,
7.4,25626,,
7.48,21346,,
7.56,21421,,
7.64,22258,,
7.72,21908,,
7.8,27627,,
7.88,38639,,
8.0,27833,,
8.08,22853,,
8.16,19290,,
8.24,16328,,
8.32,15707,,
8.4,20861,,
8.48,32622,,
8.56,31101,,
8.64,25312,,
8.72,23565,,
8.8,21273,,
8.88,21764,,
9.0,21915,,
9.08,21548,,
9.16,24896,,
9.24,34024,,
9.32,31663,,
9.4,26597,,
9.48,25653,,
9.56,22317,,
9.64,19475,,
9.72,16562,,
9.8,16984,,
9.88,21873,,
10.0,35309,,
10.08,30266,,
10.16,23405,,
10.24,24436,,
10.32,21315,,
10.4,21758,,
10.48,22304,,
10.56,21916,,
10.64,22436,,
10.72,33571,,
10.8,30859,,
10.88,23774,,
