Timestamp,Magnitude,Steps,Header
0.0,20641,93,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 2, 'low_power': 0, 'bwf_mode': 0, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689643}"
0.08,20767,,
0.16,21631,,
0.24,21238,,
0.32,21300,,
0.4,29568,,
1.0,17382,,
1.08,24095,,
1.16,20833,,
1.24,21687,,
1.32,23554,,
1.4,22571,,
1.48,21939,,
1.56,23635,,
1.64,22968,,
1.72,20006,,
1.8,20544,,
1.88,20792,,
2.0,21249,,
2.08,21966,,
2.16,21359,,
2.24,20538,,
2.32,21562,,
2.4,21088,,
2.48,20939,,
2.56,21130,,
2.64,23018,,
2.72,20975,,
2.8,21994,,
2.88,25652,,
2.96,24336,,
3.0,22485,,
3.08,18931,,
3.16,17687,,
3.24,16979,,
3.32,15158,,
3.4,17063,,
3.48,16522,,
3.56,16872,,
3.64,18765,,
3.72,20706,,
3.8,20561,,
3.88,20054,,
4.0,21067,,
4.08,21507,,
4.16,22505,,
4.24,22077,,
4.32,23567,,
4.4,22826,,
4.48,23485,,
4.56,23155,,
4.64,22306,,
4.72,21995,,
4.8,21173,,
4.88,20019,,
4.96,18601,,
5.0,19362,,
5.08,19689,,
5.16,18879,,
5.24,19080,,
5.32,26504,,
5.4,29029,,
5.48,28452,,
5.56,30617,,
5.64,28410,,
5.72,25377,,
5.8,18703,,
5.88,14619,,
6.0,14860,,
6.08,17513,,
6.16,21128,,
6.24,22497,,
6.32,20767,,
6.4,16497,,
6.48,14155,,
6.56,23140,,
6.64,21556,,
6.72,27478,,
6.8,25450,,
6.88,30789,,
6.96,35369,,
7.0,25979,,
7.08,22640,,
7.16,21580,,
7.24,21891,,
7.32,22487,,
7.4,23008,,
7.48,22384,,
7.56,21816,,
7.64,28197,,
7.72,23823,,
7.8,22694,,
7.88,23503,,
8.0,22289,,
8.08,22140,,
8.16,21308,,
8.24,21214,,
8.32,21839,,
8.4,22073,,
8.48,23090,,
8.56,23850,,
8.64,23442,,
8.72,24127,,
8.8,25751,,
8.88,23917,,
9.0,21929,,
9.08,21097,,
9.16,21126,,
9.24,20231,,
9.32,20109,,
9.4,21095,,
9.48,21728,,
9.56,22380,,
9.64,22254,,
9.72,22493,,
9.8,22818,,
9.88,23148,,
10.0,26932,,
10.08,24374,,
10.16,22000,,
10.24,23657,,
10.32,21285,,
10.4,21815,,
10.48,22376,,
10.56,21590,,
10.64,21258,,
10.72,21489,,
10.8,22312,,
10.88,22871,,
11.0,23526,,
11.08,23490,,
11.16,23213,,
11.24,22686,,
11.32,24623,,
11.4,25452,,
11.48,22820,,
11.56,21015,,
11.64,22031,,
11.72,22065,,
11.8,21306,,
11.88,21000,,
12.0,19948,,
12.08,21309,,
12.16,22061,,
12.24,22222,,
12.32,22048,,
12.4,21936,,
12.48,22054,,
12.56,22716,,
12.64,22734,,
12.72,28971,,
12.8,25103,,
12.88,22847,,
13.0,22202,,
13.08,22352,,
13.16,21562,,
13.24,21338,,
13.32,20999,,
13.4,21744,,
13.48,22514,,
13.56,23021,,
13.64,23069,,
13.72,23332,,
13.8,30105,,
13.88,26784,,
14.0,20682,,
14.08,19989,,
14.16,20800,,
14.24,20059,,
14.32,19005,,
14.4,20274,,
14.48,21423,,
14.56,22883,,
14.64,22936,,
14.72,21650,,
14.8,21417,,
14.88,21984,,
15.0,28343,,
15.08,22614,,
15.16,21061,,
15.24,21894,,
15.32,21903,,
15.4,20991,,
15.48,21170,,
15.56,20778,,
15.64,21646,,
15.72,23059,,
15.8,23893,,
15.88,23903,,
16.0,22948,,
16.08,22286,,
16.16,22719,,
16.24,25810,,
16.32,24779,,
16.4,19849,,
16.48,21375,,
16.56,21720,,
16.64,22172,,
16.72,21385,,
16.8,19668,,
16.88,20215,,
17.0,22552,,
17.08,22664,,
17.16,22534,,
17.24,22479,,
17.32,22045,,
17.4,22070,,
17.48,27727,,
17.56,26508,,
17.64,22612,,
17.72,36100,,
17.8,42437,,
17.88,36576,,
18.0,12731,,
18.08,10073,,
18.16,11915,,
18.24,17405,,
18.32,19396,,
18.4,21811,,
18.48,21495,,
18.56,21910,,
18.64,21225,,
18.72,20592,,
18.8,19925,,
18.88,16542,,
19.0,18766,,
19.08,18265,,
19.16,19827,,
19.24,26970,,
19.32,28575,,
19.4,38939,,
19.48,30994,,
19.56,24264,,
19.64,22099,,
19.72,21354,,
19.8,20388,,
19.88,24648,,
19.96,23488,,
20.0,26716,,
20.08,24921,,
20.16,22637,,
20.24,23728,,
20.32,24080,,
20.4,22411,,
20.48,23288,,
20.56,21236,,
20.64,20777,,
20.72,21072,,
20.8,21192,,
20.88,21527,,
21.0,20938,,
21.08,26799,,
21.16,31919,,
21.24,22855,,
21.32,21627,,
21.4,22857,,
21.48,21068,,
21.56,19496,,
21.64,20338,,
21.72,20809,,
21.8,21701,,
21.88,21995,,
21.96,21364,,
22.0,21127,,
22.08,21697,,
22.16,21969,,
22.24,28298,,
22.32,26961,,
22.4,22344,,
22.48,21438,,
22.56,22207,,
22.64,21492,,
22.72,21036,,
22.8,20276,,
22.88,22919,,
23.0,23195,,
23.08,22894,,
23.16,22071,,
23.24,22396,,
23.32,23082,,
23.4,24017,,
23.48,26737,,
23.56,24317,,
23.64,21301,,
23.72,20791,,
23.8,21396,,
23.88,20560,,
23.96,20438,,
24.0,20922,,
24.08,21592,,
24.16,20830,,
24.24,21868,,
24.32,22309,,
24.4,21871,,
24.48,22763,,
24.56,23016,,
24.64,23346,,
