Timestamp,Magnitude,Steps,Header
0.0,17761,80,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 3, 'low_power': 0, 'bwf_mode': 0, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689627}"
0.04,17342,,
0.08,18209,,
1.0,18197,,
1.04,17925,,
1.08,17659,,
1.12,17343,,
1.16,17417,,
1.2,17624,,
1.24,17231,,
1.28,17449,,
1.32,17542,,
1.36,17048,,
1.4,17059,,
1.44,17239,,
1.48,17098,,
1.52,17195,,
1.56,16751,,
1.6,17823,,
1.64,17704,,
1.68,17028,,
1.72,17223,,
1.76,17652,,
1.8,17985,,
1.84,16655,,
1.88,16546,,
1.92,18758,,
1.96,20079,,
2.0,21362,,
2.04,20381,,
2.08,20431,,
2.12,19866,,
2.16,19246,,
2.2,19734,,
2.24,19726,,
2.28,19385,,
2.32,19257,,
2.36,19446,,
2.4,18890,,
2.44,18164,,
2.48,16593,,
2.52,14999,,
2.56,14999,,
2.6,28047,,
2.64,31923,,
2.68,30680,,
2.72,30050,,
2.76,30815,,
2.8,29789,,
2.84,29066,,
2.88,25496,,
3.0,21735,,
3.04,21677,,
3.08,22231,,
3.12,22341,,
3.16,22934,,
3.2,24546,,
3.24,27975,,
3.28,32574,,
3.32,34787,,
3.36,34021,,
3.4,29266,,
3.44,29475,,
3.48,29085,,
3.52,25100,,
3.56,22926,,
3.6,20405,,
3.64,18890,,
3.68,17706,,
3.72,16355,,
3.76,15743,,
3.8,17266,,
3.84,19065,,
3.88,24648,,
3.92,28469,,
4.0,26847,,
4.04,23975,,
4.08,24195,,
4.12,24488,,
4.16,22989,,
4.2,21074,,
4.24,20879,,
4.28,21935,,
4.32,22766,,
4.36,22467,,
4.4,21865,,
4.44,23570,,
4.48,25381,,
4.52,29491,,
4.56,34588,,
4.6,32651,,
4.64,28598,,
4.68,26989,,
4.72,26545,,
4.76,24496,,
4.8,22166,,
4.84,21168,,
4.88,20346,,
4.92,19465,,
5.0,16808,,
5.04,16779,,
5.08,19098,,
5.12,22277,,
5.16,26814,,
5.2,28871,,
5.24,28359,,
5.28,24364,,
5.32,22224,,
5.36,22793,,
5.4,23600,,
5.44,22565,,
5.48,21241,,
5.52,21350,,
5.56,22316,,
5.6,22394,,
5.64,22223,,
5.68,21597,,
5.72,23760,,
5.76,27062,,
5.8,32422,,
5.84,33367,,
5.88,31181,,
5.92,28193,,
6.0,25981,,
6.04,21976,,
6.08,19597,,
6.12,19386,,
6.16,18707,,
6.2,17845,,
6.24,17062,,
6.28,16824,,
6.32,18351,,
6.36,20901,,
6.4,26810,,
6.44,30126,,
6.48,29742,,
6.52,26844,,
6.56,22137,,
6.6,21365,,
6.64,23589,,
6.68,22914,,
6.72,21437,,
6.76,20555,,
6.8,20880,,
6.84,21811,,
6.88,21874,,
6.92,21087,,
7.0,25259,,
7.04,30460,,
7.08,34316,,
7.12,32730,,
7.16,27820,,
7.2,27238,,
7.24,27372,,
7.28,23571,,
7.32,20986,,
7.36,19460,,
7.4,18694,,
7.44,17829,,
7.48,16812,,
7.52,16490,,
7.56,16581,,
7.6,19201,,
7.64,25727,,
7.68,29826,,
7.72,30034,,
7.76,29624,,
7.8,24062,,
7.84,23967,,
7.88,23998,,
7.92,22936,,
8.0,19675,,
8.04,19708,,
8.08,20816,,
8.12,21849,,
8.16,20765,,
8.2,21072,,
8.24,24043,,
8.28,26582,,
8.32,32351,,
8.36,34130,,
8.4,29846,,
8.44,28267,,
8.48,33974,,
8.52,42904,,
8.56,43088,,
8.6,38940,,
8.64,23013,,
8.68,11274,,
8.72,4686,,
8.76,3319,,
8.8,7270,,
8.84,11274,,
8.88,13575,,
8.92,23130,,
9.0,30991,,
9.04,40501,,
