Timestamp,Magnitude,Steps,Header
0.0,20300,0,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 3, 'low_power': 0, 'bwf_mode': 0, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689756}"
0.04,19907,,
0.08,19712,,
0.12,23298,,
0.16,19875,,
0.2,20028,,
0.24,19958,,
0.28,20274,,
0.32,20076,,
0.36,20230,,
0.4,20141,,
0.44,20266,,
0.48,20245,,
0.52,20285,,
0.56,20235,,
0.6,20223,,
0.64,20100,,
0.68,20077,,
0.72,20099,,
0.76,20111,,
0.8,20085,,
1.0,20149,,
1.04,20203,,
1.08,20224,,
1.12,20169,,
1.16,20135,,
1.2,20280,,
1.24,20174,,
1.28,20066,,
1.32,20283,,
1.36,19972,,
1.4,21201,,
1.44,23478,,
1.48,25707,,
1.52,21268,,
1.56,18788,,
1.6,16512,,
1.64,15761,,
1.68,19027,,
1.72,18588,,
1.76,22235,,
1.8,23027,,
1.84,25620,,
1.88,24734,,
1.92,22773,,
2.0,29344,,
2.04,23591,,
2.08,17545,,
2.12,23611,,
2.16,19140,,
2.2,20578,,
2.24,20851,,
2.28,21016,,
2.32,20415,,
2.36,21047,,
2.4,21058,,
2.44,20676,,
2.48,21909,,
2.52,20909,,
2.56,21302,,
2.6,20882,,
2.64,20847,,
2.68,21360,,
2.72,21608,,
2.76,21386,,
2.8,21485,,
2.84,21376,,
2.88,20877,,
2.92,21175,,
3.0,21325,,
3.04,21789,,
3.08,21249,,
3.12,21467,,
3.16,21812,,
3.2,21346,,
3.24,22784,,
3.28,23392,,
3.32,25687,,
3.36,22823,,
3.4,18896,,
3.44,17843,,
3.48,18656,,
3.52,20880,,
3.56,27177,,
3.6,27134,,
3.64,35000,,
3.68,31078,,
3.72,18678,,
3.76,14768,,
3.8,16528,,
3.84,12357,,
3.88,15366,,
3.92,14112,,
4.0,22203,,
4.04,28539,,
4.08,28399,,
4.12,28872,,
4.16,26775,,
4.2,24609,,
4.24,24179,,
4.28,26407,,
4.32,30091,,
4.36,35641,,
4.4,29518,,
4.44,23092,,
4.48,20907,,
4.52,15067,,
4.56,11783,,
4.6,15388,,
4.64,19840,,
4.68,15937,,
4.72,15393,,
4.76,16398,,
4.8,18528,,
4.84,18234,,
4.88,21493,,
4.92,21443,,
5.0,21703,,
5.04,22193,,
5.08,23103,,
5.12,22883,,
5.16,20338,,
5.2,20089,,
5.24,20200,,
5.28,19978,,
5.32,20615,,
5.36,21845,,
5.4,23312,,
5.44,25064,,
5.48,26370,,
5.52,18039,,
5.56,13855,,
5.6,13086,,
5.64,13738,,
5.68,15747,,
5.72,14906,,
5.76,24501,,
5.8,20727,,
5.84,11177,,
5.88,17803,,
5.92,27106,,
5.96,27528,,
6.0,34768,,
6.04,31635,,
6.08,27384,,
6.12,22585,,
6.16,21860,,
6.2,21136,,
6.24,29287,,
6.28,18004,,
6.32,22337,,
6.36,21528,,
6.4,22526,,
6.44,21602,,
6.48,21461,,
6.52,21774,,
6.56,20792,,
6.6,20976,,
6.64,20141,,
6.68,20553,,
6.72,21930,,
6.76,20869,,
6.8,21915,,
6.84,20201,,
6.88,22767,,
6.92,20436,,
7.0,19463,,
7.04,19259,,
7.08,18051,,
7.12,18572,,
7.16,20325,,
7.2,20446,,
7.24,21447,,
7.28,24258,,
7.32,19939,,
