Timestamp,Magnitude,Steps,Header
0.0,19422,0,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 3, 'low_power': 0, 'bwf_mode': 1, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689617}"
0.04,18416,,
0.08,18229,,
0.12,19184,,
0.16,19221,,
0.2,19132,,
0.24,19572,,
0.28,19664,,
1.0,19142,,
1.04,19323,,
1.08,19457,,
1.12,19584,,
1.16,20581,,
1.2,22692,,
1.24,23128,,
1.28,21505,,
1.32,19910,,
1.36,18112,,
1.4,17535,,
1.44,17941,,
1.48,17581,,
1.52,18736,,
1.56,19585,,
1.6,19438,,
1.64,20681,,
1.68,23489,,
1.72,23631,,
1.76,21742,,
1.8,22602,,
1.84,23242,,
1.88,23132,,
1.92,22551,,
2.0,21181,,
2.04,19355,,
2.08,17833,,
2.12,17194,,
2.16,17463,,
2.2,16797,,
2.24,16550,,
2.28,17484,,
2.32,17326,,
2.36,18098,,
2.4,20900,,
2.44,21808,,
2.48,22839,,
2.52,24931,,
2.56,25265,,
2.6,26149,,
2.64,22055,,
2.68,20895,,
2.72,20098,,
2.76,16859,,
2.8,15574,,
2.84,16973,,
2.88,22121,,
2.92,26164,,
3.0,29321,,
3.04,24281,,
3.08,18608,,
3.12,19680,,
3.16,19070,,
3.2,16341,,
3.24,16023,,
3.28,16630,,
3.32,20347,,
3.36,22940,,
3.4,21276,,
3.44,19338,,
3.48,18403,,
3.52,21198,,
3.56,23514,,
3.6,24348,,
3.64,25518,,
3.68,25488,,
3.72,24081,,
3.76,22413,,
3.8,21734,,
3.84,20628,,
3.88,19805,,
3.92,20569,,
4.0,22346,,
4.04,22019,,
4.08,23842,,
4.12,23564,,
4.16,21176,,
4.2,20878,,
4.24,21289,,
4.28,20618,,
4.32,21029,,
4.36,20445,,
4.4,20652,,
4.44,22190,,
4.48,22412,,
4.52,21841,,
4.56,21486,,
4.6,21284,,
4.64,21184,,
4.68,21196,,
4.72,21266,,
4.76,21445,,
4.8,21774,,
4.84,21913,,
4.88,21943,,
4.92,21817,,
5.0,21591,,
