Timestamp,Magnitude,Steps,Header
0.0,19241,18,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 3, 'low_power': 0, 'bwf_mode': 1, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689617}"
0.04,19424,,
0.08,21337,,
0.12,21239,,
0.16,18322,,
0.2,18615,,
0.24,18287,,
0.28,18336,,
0.32,18367,,
0.36,18065,,
0.4,18120,,
0.44,18486,,
0.48,18424,,
0.52,18215,,
0.56,18207,,
0.6,18357,,
0.64,18576,,
0.68,18516,,
0.72,18301,,
0.76,18271,,
0.8,18445,,
0.84,18506,,
0.88,18464,,
0.92,18830,,
0.96,18803,,
1.0,18449,,
1.0,18787,,
1.04,18677,,
1.08,18410,,
1.12,18542,,
1.16,18483,,
1.2,18449,,
1.24,18625,,
1.28,18567,,
1.32,18474,,
1.36,18522,,
1.4,18976,,
1.44,18920,,
1.48,16132,,
1.52,16415,,
1.56,16567,,
1.6,14599,,
1.64,16313,,
1.68,19889,,
1.72,26185,,
1.76,27525,,
1.8,25836,,
1.84,24535,,
1.88,26361,,
2.0,22715,,
2.04,22524,,
2.08,22216,,
2.12,20142,,
2.16,19032,,
2.2,19494,,
2.24,21087,,
2.28,23376,,
2.32,24599,,
2.36,24214,,
2.4,26538,,
2.44,29332,,
2.48,26946,,
2.52,23223,,
2.56,20510,,
2.6,17793,,
2.64,17968,,
2.68,18728,,
2.72,19819,,
2.76,21256,,
2.8,22804,,
2.84,24895,,
2.88,25068,,
2.92,23118,,
3.0,23208,,
3.04,22180,,
3.08,22090,,
3.12,22881,,
3.16,25876,,
3.2,27988,,
3.24,31030,,
3.28,34741,,
3.32,30141,,
3.36,22737,,
3.4,22165,,
3.44,27157,,
3.48,30456,,
3.52,32403,,
3.56,35295,,
3.6,33713,,
3.64,26498,,
3.68,16958,,
3.72,16031,,
3.76,16284,,
3.8,12485,,
3.84,20528,,
3.88,24131,,
3.92,24526,,
4.0,23681,,
4.04,22651,,
4.08,21020,,
4.12,22516,,
4.16,23616,,
4.2,23728,,
4.24,23217,,
4.28,21386,,
4.32,18947,,
4.36,15575,,
4.4,17460,,
4.44,20288,,
4.48,20637,,
4.52,19918,,
4.56,20649,,
4.6,21413,,
4.64,21394,,
4.68,22350,,
4.72,22603,,
4.76,22685,,
4.8,23822,,
4.84,23542,,
4.88,23856,,
4.92,23790,,
5.0,23029,,
5.04,22123,,
5.08,20690,,
5.12,21193,,
5.16,22538,,
5.2,22589,,
5.24,23231,,
5.28,22834,,
5.32,21213,,
5.36,21057,,
5.4,23220,,
5.44,24104,,
5.48,23727,,
5.52,25365,,
5.56,26538,,
5.6,25146,,
5.64,23010,,
5.68,21763,,
5.72,21000,,
5.76,21660,,
5.8,23193,,
5.84,23026,,
5.88,22092,,
5.92,23649,,
6.0,27979,,
6.04,29465,,
6.08,28452,,
6.12,27459,,
6.16,25812,,
6.2,26052,,
6.24,27605,,
6.28,28421,,
6.32,29628,,
6.36,28823,,
6.4,28190,,
6.44,28821,,
6.48,25784,,
