Timestamp,Magnitude,Steps,Header
0.0,18902,6,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 3, 'low_power': 0, 'bwf_mode': 1, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689612}"
0.04,17670,,
0.08,16956,,
0.12,19352,,
0.16,19172,,
0.2,17194,,
0.24,17421,,
0.28,16666,,
0.32,16795,,
0.36,17611,,
0.4,17164,,
0.44,16992,,
0.48,17613,,
0.52,19230,,
0.56,19774,,
0.6,18339,,
0.64,16518,,
0.68,17378,,
1.0,18628,,
1.04,19953,,
1.08,19738,,
1.12,19081,,
1.16,18669,,
1.2,18234,,
1.24,17815,,
1.28,17044,,
1.32,16671,,
1.36,17312,,
1.4,18330,,
1.44,20101,,
1.48,21462,,
1.52,21783,,
1.56,21518,,
1.6,22037,,
1.64,24244,,
1.68,26397,,
1.72,26898,,
1.76,27466,,
1.8,27510,,
1.84,28623,,
1.88,30611,,
1.92,29962,,
2.0,28079,,
2.04,25154,,
2.08,23620,,
2.12,23205,,
2.16,20835,,
2.2,17678,,
2.24,13411,,
2.28,9980,,
2.32,10667,,
2.36,13307,,
2.4,13999,,
2.44,12852,,
2.48,14909,,
2.52,17229,,
2.56,17172,,
2.6,18304,,
2.64,20693,,
2.68,24490,,
2.72,26415,,
2.76,27016,,
2.8,27495,,
2.84,28381,,
2.88,29165,,
2.92,27693,,
2.96,27511,,
3.0,24626,,
3.04,22459,,
3.08,20413,,
3.12,18298,,
3.16,16371,,
3.2,15435,,
3.24,15992,,
3.28,17359,,
3.32,18312,,
3.36,18103,,
3.4,15898,,
3.44,16698,,
3.48,23036,,
3.52,27398,,
3.56,33925,,
3.6,37340,,
3.64,34075,,
3.68,31463,,
3.72,27907,,
3.76,23893,,
3.8,22349,,
3.84,22433,,
3.88,22967,,
3.92,24643,,
3.96,26795,,
4.0,28209,,
4.04,29908,,
4.08,33032,,
4.12,33722,,
4.16,35844,,
4.2,39964,,
4.24,38852,,
4.28,34139,,
4.32,29112,,
4.36,24508,,
4.4,21318,,
4.44,19536,,
4.48,16383,,
4.52,13463,,
4.56,14171,,
4.6,16136,,
4.64,19601,,
4.68,22142,,
4.72,24686,,
4.76,26285,,
4.8,25847,,
4.84,25589,,
4.88,24402,,
4.92,22171,,
4.96,21197,,
5.0,20101,,
5.04,19180,,
5.08,19594,,
5.12,19920,,
5.16,20220,,
5.2,20646,,
5.24,21066,,
5.28,20732,,
5.32,19326,,
5.36,18901,,
5.4,19794,,
5.44,20839,,
5.48,21572,,
5.52,20369,,
5.56,18702,,
5.6,22425,,
5.64,30473,,
5.68,32636,,
5.72,29354,,
5.76,26935,,
5.8,22864,,
5.84,19300,,
5.88,19919,,
5.92,21965,,
5.96,22663,,
6.0,22259,,
6.04,23480,,
6.08,28245,,
6.12,31302,,
6.16,34159,,
6.2,35811,,
6.24,29244,,
6.28,20711,,
6.32,21953,,
6.36,15388,,
6.4,14984,,
6.44,23804,,
6.48,25495,,
6.52,20835,,
6.56,21113,,
6.6,24252,,
6.64,27291,,
6.68,26606,,
6.72,21312,,
6.76,25537,,
6.8,24143,,
6.84,20646,,
6.88,26264,,
6.92,35578,,
7.0,24195,,
7.04,22644,,
7.08,18244,,
7.12,25244,,
7.16,38161,,
7.2,39144,,
7.24,28895,,
7.28,26477,,
7.32,18371,,
7.36,16320,,
7.4,23010,,
7.44,21112,,
7.48,16546,,
7.52,22973,,
7.56,28347,,
7.6,28036,,
7.64,32315,,
7.68,27973,,
7.72,17491,,
7.76,22301,,
7.8,30217,,
7.84,23071,,
7.88,26911,,
7.92,36792,,
7.96,31027,,
8.0,23755,,
8.04,13896,,
8.08,11657,,
8.12,26598,,
8.16,39033,,
8.2,34982,,
8.24,22653,,
8.28,16197,,
8.32,10311,,
8.36,9172,,
8.4,12068,,
8.44,18309,,
8.48,21914,,
8.52,24922,,
8.56,25378,,
8.6,26965,,
8.64,26691,,
