Timestamp,Magnitude,Steps,Header
0.0,23739,152,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 3, 'low_power': 0, 'bwf_mode': 1, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689611}"
0.04,20887,,
0.08,18922,,
0.12,19723,,
0.16,20710,,
0.2,20527,,
0.24,20200,,
0.28,19930,,
1.0,21035,,
1.04,20446,,
1.08,20582,,
1.12,20657,,
1.16,20483,,
1.2,20390,,
1.24,20111,,
1.28,19622,,
1.32,18953,,
1.36,16508,,
1.4,11116,,
1.44,10373,,
1.48,12437,,
1.52,15242,,
1.56,20725,,
1.6,23412,,
1.64,23607,,
1.68,28643,,
1.72,31859,,
1.76,27364,,
1.8,23270,,
1.84,20196,,
1.88,16664,,
1.92,17910,,
2.0,21784,,
2.04,20803,,
2.08,23974,,
2.12,30781,,
2.16,33329,,
2.2,32918,,
2.24,35827,,
2.28,30395,,
2.32,23715,,
2.36,18431,,
2.4,12574,,
2.44,10099,,
2.48,12712,,
2.52,18024,,
2.56,25215,,
2.6,32584,,
2.64,32348,,
2.68,35449,,
2.72,39166,,
2.76,30082,,
2.8,20807,,
2.84,14605,,
2.88,8995,,
2.92,8261,,
3.0,23223,,
3.04,35303,,
3.08,51258,,
3.12,61608,,
3.16,62232,,
3.2,57588,,
3.24,45544,,
3.28,35572,,
3.32,27741,,
3.36,23909,,
3.4,24980,,
3.44,27588,,
3.48,33401,,
3.52,42201,,
3.56,48009,,
3.6,50057,,
3.64,46770,,
3.68,42874,,
3.72,44338,,
3.76,40895,,
3.8,38408,,
3.84,35449,,
3.88,32487,,
3.92,36722,,
4.0,41134,,
4.04,41198,,
4.08,41419,,
4.12,42247,,
4.16,44223,,
4.2,41683,,
4.24,38887,,
4.28,36229,,
4.32,36557,,
4.36,40355,,
4.4,43118,,
4.44,44591,,
4.48,45365,,
4.52,46261,,
4.56,44622,,
4.6,45811,,
4.64,42956,,
4.68,38528,,
4.72,36792,,
4.76,37976,,
4.8,42380,,
4.84,49446,,
4.88,54230,,
4.92,50566,,
4.96,50901,,
5.0,50859,,
5.04,46340,,
5.08,44526,,
5.12,35303,,
5.16,37186,,
5.2,42965,,
5.24,43289,,
5.28,48703,,
5.32,50987,,
5.36,50078,,
5.4,51683,,
5.44,47229,,
5.48,40887,,
5.52,42156,,
5.56,44688,,
5.6,44702,,
5.64,55330,,
5.68,65112,,
5.72,52642,,
5.76,35881,,
5.8,36214,,
5.84,35777,,
5.88,31819,,
5.92,33090,,
5.96,39174,,
6.0,48658,,
6.04,59403,,
6.08,65831,,
6.12,58071,,
6.16,55373,,
6.2,55942,,
6.24,52621,,
6.28,47047,,
6.32,47094,,
6.36,46275,,
6.4,48687,,
6.44,54054,,
6.48,58201,,
6.52,56819,,
6.56,53380,,
6.6,52879,,
6.64,48886,,
6.68,42476,,
6.72,34136,,
6.76,35033,,
6.8,43529,,
6.84,50385,,
6.88,56056,,
6.92,55651,,
6.96,56282,,
7.0,54319,,
7.04,51241,,
7.08,47849,,
7.12,44758,,
7.16,41868,,
7.2,41797,,
7.24,47388,,
7.28,54545,,
7.32,56292,,
7.36,52427,,
7.4,49192,,
7.44,47191,,
7.48,45991,,
7.52,41180,,
7.56,38809,,
7.6,47475,,
7.64,44992,,
7.68,43401,,
7.72,50247,,
7.76,55166,,
7.8,50057,,
7.84,45098,,
7.88,41694,,
7.92,36735,,
7.96,40808,,
8.0,49972,,
8.04,46315,,
8.08,42651,,
8.12,44716,,
8.16,42968,,
8.2,37172,,
8.24,36922,,
8.28,35213,,
8.32,31261,,
8.36,29752,,
8.4,32309,,
8.44,35483,,
8.48,40868,,
8.52,50503,,
8.56,53859,,
8.6,48081,,
8.64,42846,,
8.68,36199,,
8.72,31830,,
8.76,33695,,
8.8,36231,,
8.84,42788,,
8.88,47893,,
8.92,44439,,
9.0,36419,,
9.04,36787,,
9.08,36985,,
9.12,33869,,
9.16,31543,,
9.2,30572,,
9.24,35996,,
9.28,39347,,
9.32,45860,,
9.36,51108,,
9.4,48262,,
9.44,43551,,
9.48,38298,,
9.52,35941,,
9.56,33586,,
9.6,35284,,
9.64,38410,,
9.68,46378,,
9.72,51479,,
9.76,47042,,
9.8,41124,,
9.84,37719,,
9.88,35275,,
9.92,32689,,
10.0,29799,,
10.04,31545,,
10.08,35896,,
10.12,42570,,
10.16,48603,,
10.2,47588,,
10.24,41263,,
10.28,35131,,
10.32,31323,,
10.36,28068,,
10.4,29630,,
10.44,31435,,
10.48,36084,,
10.52,37842,,
10.56,42104,,
10.6,41965,,
10.64,38355,,
10.68,34743,,
10.72,32613,,
10.76,32719,,
10.8,30133,,
10.84,28092,,
10.88,30605,,
10.92,34027,,
11.0,42686,,
11.04,40429,,
11.08,35661,,
11.12,33458,,
11.16,30073,,
11.2,24463,,
11.24,25613,,
11.28,31553,,
11.32,40381,,
11.36,43229,,
11.4,45475,,
11.44,44106,,
11.48,39378,,
11.52,36068,,
11.56,34197,,
11.6,33340,,
11.64,31899,,
11.68,27777,,
11.72,28256,,
11.76,30306,,
11.8,33955,,
11.84,39979,,
11.88,43008,,
11.92,41233,,
12.0,38436,,
12.04,31467,,
12.08,30292,,
12.12,34539,,
12.16,39043,,
12.2,42512,,
12.24,45716,,
12.28,45416,,
12.32,41834,,
12.36,37584,,
12.4,36031,,
12.44,32508,,
12.48,28225,,
12.52,25870,,
12.56,26245,,
12.6,27715,,
12.64,33836,,
12.68,41768,,
12.72,46344,,
12.76,45101,,
12.8,41801,,
12.84,37100,,
12.88,30965,,
12.92,31395,,
13.0,37462,,
13.04,38520,,
13.08,43449,,
13.12,46408,,
13.16,41138,,
13.2,37159,,
13.24,34181,,
13.28,30780,,
13.32,29068,,
13.36,30767,,
13.4,33244,,
13.44,34248,,
13.48,37307,,
13.52,39899,,
13.56,39778,,
13.6,39231,,
13.64,39177,,
13.68,34741,,
13.72,28238,,
13.76,26147,,
13.8,30193,,
13.84,34521,,
13.88,39711,,
13.92,46094,,
14.0,40059,,
14.04,36186,,
14.08,33854,,
14.12,30612,,
14.16,28157,,
14.2,26095,,
14.24,26583,,
14.28,29560,,
14.32,35501,,
14.36,43052,,
14.4,44597,,
14.44,41518,,
14.48,40630,,
14.52,39169,,
14.56,33786,,
14.6,27422,,
14.64,27468,,
14.68,31908,,
14.72,37362,,
14.76,41911,,
14.8,43657,,
14.84,35841,,
14.88,29564,,
14.92,27522,,
15.0,26753,,
15.04,26887,,
15.08,31237,,
15.12,35310,,
15.16,36217,,
15.2,39856,,
15.24,39356,,
15.28,36404,,
15.32,35129,,
15.36,34774,,
15.4,31920,,
15.44,30429,,
15.48,33460,,
15.52,35340,,
15.56,36340,,
15.6,38333,,
15.64,42374,,
15.68,37696,,
15.72,31967,,
15.76,32733,,
15.8,29216,,
15.84,27301,,
15.88,28405,,
15.92,29364,,
16.0,34487,,
16.04,33114,,
16.08,33826,,
16.12,33580,,
16.16,31710,,
16.2,30929,,
16.24,26175,,
16.28,23508,,
16.32,28042,,
16.36,30392,,
16.4,32279,,
16.44,37200,,
16.48,44850,,
16.52,43342,,
16.56,35735,,
16.6,28138,,
16.64,22819,,
16.68,22745,,
16.72,19983,,
16.76,18734,,
16.8,21104,,
16.84,23295,,
16.88,26707,,
16.92,32450,,
17.0,35938,,
17.04,36508,,
17.08,36024,,
17.12,32022,,
17.16,28501,,
17.2,29136,,
17.24,34783,,
17.28,39686,,
17.32,36563,,
17.36,38493,,
17.4,36863,,
17.44,30192,,
17.48,25464,,
17.52,21878,,
17.56,22703,,
17.6,21822,,
17.64,23173,,
17.68,25810,,
17.72,30550,,
17.76,37513,,
17.8,41933,,
17.84,40291,,
17.88,34283,,
17.92,29951,,
18.0,24518,,
18.04,29806,,
18.08,34187,,
18.12,36883,,
18.16,43774,,
18.2,49123,,
18.24,35236,,
18.28,25922,,
18.32,23114,,
18.36,22959,,
18.4,25542,,
18.44,25077,,
18.48,26959,,
18.52,30120,,
18.56,31396,,
18.6,34873,,
18.64,37550,,
18.68,38069,,
18.72,36745,,
18.76,32010,,
18.8,26988,,
18.84,25344,,
18.88,29922,,
18.92,36371,,
19.0,47327,,
19.04,43867,,
19.08,36518,,
19.12,30343,,
19.16,26589,,
19.2,23001,,
19.24,24345,,
19.28,24435,,
19.32,23956,,
19.36,24738,,
19.4,24483,,
19.44,27585,,
19.48,32773,,
19.52,30197,,
19.56,27305,,
19.6,25129,,
19.64,22882,,
19.68,21023,,
19.72,27266,,
19.76,35065,,
19.8,38908,,
19.84,40379,,
19.88,42812,,
19.92,37359,,
20.0,21718,,
20.04,13911,,
20.08,12039,,
20.12,12371,,
20.16,16498,,
20.2,19550,,
20.24,24217,,
20.28,31051,,
20.32,37855,,
20.36,40138,,
20.4,38433,,
20.44,35874,,
20.48,32674,,
20.52,27986,,
20.56,27666,,
20.6,29073,,
20.64,33164,,
20.68,40904,,
20.72,43955,,
20.76,42598,,
20.8,38002,,
20.84,34523,,
20.88,31863,,
20.92,28827,,
21.0,26198,,
21.04,25395,,
21.08,26972,,
21.12,28925,,
21.16,34443,,
21.2,39526,,
21.24,38580,,
21.28,37373,,
21.32,34389,,
21.36,30878,,
21.4,29325,,
21.44,31560,,
21.48,35283,,
21.52,36080,,
21.56,38840,,
21.6,42101,,
21.64,36437,,
21.68,30666,,
21.72,26918,,
21.76,23680,,
21.8,24506,,
21.84,24612,,
21.88,25267,,
21.92,26208,,
22.0,26858,,
22.04,30255,,
22.08,36522,,
22.12,38222,,
22.16,34919,,
22.2,33631,,
22.24,32434,,
22.28,26966,,
22.32,23341,,
22.36,23299,,
22.4,25443,,
22.44,35010,,
22.48,49532,,
22.52,52060,,
22.56,44237,,
22.6,37235,,
22.64,33168,,
22.68,30776,,
22.72,28520,,
22.76,27641,,
22.8,26437,,
22.84,26982,,
22.88,29577,,
22.92,34380,,
22.96,39004,,
23.0,37308,,
23.04,32403,,
23.08,30044,,
23.12,30016,,
23.16,27857,,
23.2,28174,,
23.24,29830,,
23.28,34967,,
23.32,37036,,
23.36,39834,,
23.4,42055,,
23.44,38621,,
23.48,35360,,
23.52,33169,,
23.56,29082,,
23.6,29480,,
23.64,31178,,
23.68,32848,,
23.72,32012,,
23.76,34045,,
23.8,40616,,
23.84,40359,,
23.88,34944,,
23.92,32879,,
23.96,29291,,
24.0,30158,,
24.04,28722,,
24.08,32681,,
24.12,34500,,
24.16,36424,,
24.2,44383,,
24.24,47487,,
24.28,40673,,
24.32,32076,,
24.36,27984,,
24.4,25590,,
24.44,24084,,
24.48,25932,,
24.52,26821,,
24.56,26746,,
24.6,29547,,
24.64,34722,,
24.68,37214,,
24.72,35196,,
24.76,32249,,
24.8,30793,,
24.84,27962,,
24.88,25342,,
24.92,27195,,
24.96,30056,,
25.0,39423,,
25.04,47426,,
25.08,49184,,
25.12,44199,,
25.16,35714,,
25.2,31061,,
25.24,29387,,
25.28,26912,,
25.32,25174,,
25.36,25440,,
25.4,28447,,
25.44,31414,,
25.48,36491,,
25.52,40829,,
25.56,38982,,
25.6,35015,,
25.64,33661,,
25.68,32688,,
25.72,28658,,
25.76,27697,,
25.8,29411,,
25.84,36875,,
25.88,42470,,
25.92,43044,,
25.96,39233,,
26.0,31784,,
26.04,26317,,
26.08,24475,,
26.12,22493,,
26.16,24319,,
26.2,26694,,
26.24,29835,,
26.28,33102,,
26.32,39988,,
26.36,43761,,
26.4,40435,,
26.44,35859,,
26.48,34172,,
26.52,31001,,
26.56,28396,,
26.6,28408,,
26.64,28198,,
26.68,35495,,
26.72,44520,,
26.76,45599,,
26.8,37220,,
26.84,28311,,
26.88,23849,,
26.92,21654,,
26.96,19971,,
27.0,23150,,
27.04,28083,,
27.08,31637,,
27.12,34951,,
27.16,35932,,
27.2,35524,,
27.24,34458,,
27.28,33111,,
27.32,32141,,
27.36,28896,,
27.4,26304,,
27.44,26394,,
27.48,30641,,
27.52,34988,,
27.56,35185,,
27.6,42653,,
27.64,50342,,
27.68,38677,,
27.72,26389,,
27.76,23907,,
27.8,19965,,
27.84,18420,,
27.88,23524,,
27.92,31362,,
27.96,44841,,
28.0,57089,,
