Timestamp,Magnitude,Steps,Header
0.0,18517,99,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 3, 'low_power': 0, 'bwf_mode': 1, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689665}"
0.04,20596,,
0.08,19138,,
0.12,17350,,
0.16,19738,,
0.2,20741,,
0.24,19965,,
0.28,20539,,
0.32,20390,,
0.36,19696,,
0.4,20099,,
1.0,20150,,
1.04,20865,,
1.08,21166,,
1.12,20741,,
1.16,20937,,
1.2,20985,,
1.24,20831,,
1.28,20824,,
1.32,20750,,
1.36,20145,,
1.4,20873,,
1.44,20780,,
1.48,19863,,
1.52,19167,,
1.56,19062,,
1.6,20430,,
1.64,20935,,
1.68,20563,,
1.72,19548,,
1.76,19690,,
1.8,20732,,
1.84,20641,,
1.88,20168,,
1.92,20382,,
2.0,21684,,
2.04,22060,,
2.08,20750,,
2.12,19596,,
2.16,18324,,
2.2,18766,,
2.24,20166,,
2.28,20185,,
2.32,19631,,
2.36,19225,,
2.4,18759,,
2.44,19030,,
2.48,21749,,
2.52,23659,,
2.56,23123,,
2.6,23787,,
2.64,23639,,
2.68,21662,,
2.72,20098,,
2.76,18213,,
2.8,17736,,
2.84,19300,,
2.88,19592,,
2.92,18702,,
2.96,18479,,
3.0,18637,,
3.04,18996,,
3.08,19649,,
3.12,20235,,
3.16,21003,,
3.2,22095,,
3.24,22404,,
3.28,24048,,
3.32,25050,,
3.36,24902,,
3.4,23423,,
3.44,17555,,
3.48,16092,,
3.52,18340,,
3.56,18683,,
3.6,16396,,
3.64,14998,,
3.68,15851,,
3.72,17387,,
3.76,18605,,
3.8,20047,,
3.84,21088,,
3.88,22418,,
3.92,22721,,
3.96,23091,,
4.0,25330,,
4.04,25634,,
4.08,22650,,
4.12,19819,,
4.16,20781,,
4.2,21352,,
4.24,19420,,
4.28,16884,,
4.32,17050,,
4.36,19200,,
4.4,19716,,
4.44,20066,,
4.48,20482,,
4.52,21233,,
4.56,21837,,
4.6,25050,,
4.64,26775,,
4.68,24525,,
4.72,23649,,
4.76,19924,,
4.8,16475,,
4.84,17926,,
4.88,19637,,
4.92,18259,,
4.96,16534,,
5.0,16655,,
5.04,17224,,
5.08,18325,,
5.12,19093,,
5.16,19740,,
5.2,21698,,
5.24,23611,,
5.28,23056,,
5.32,23611,,
5.36,25594,,
5.4,25471,,
5.44,22956,,
5.48,18251,,
5.52,16721,,
5.56,19592,,
5.6,21761,,
5.64,21294,,
5.68,19236,,
5.72,18774,,
5.76,20015,,
5.8,20754,,
5.84,21160,,
5.88,21016,,
5.92,20836,,
5.96,22458,,
6.0,24619,,
6.04,26113,,
6.08,25553,,
6.12,22749,,
6.16,18814,,
6.2,16543,,
6.24,17875,,
6.28,19404,,
6.32,19290,,
6.36,18665,,
6.4,18451,,
6.44,18429,,
6.48,18452,,
6.52,19396,,
6.56,20989,,
6.6,22091,,
6.64,22265,,
6.68,22390,,
6.72,24000,,
6.76,24825,,
6.8,24055,,
6.84,22522,,
6.88,20225,,
