Timestamp,Magnitude,Steps,Header
0.0,21377,0,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 3, 'low_power': 0, 'bwf_mode': 1, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 2, 'start_ts': 1735689717}"
0.04,23433,,
0.08,21842,,
0.12,22215,,
0.16,22290,,
0.2,22060,,
1.0,20213,,
1.04,20165,,
1.08,21603,,
1.12,20882,,
1.16,21729,,
1.2,22349,,
1.24,21152,,
1.28,20821,,
1.32,20826,,
1.36,19992,,
1.4,20047,,
1.44,20832,,
1.48,20960,,
1.52,21492,,
1.56,21213,,
1.6,21006,,
1.64,20086,,
1.68,20348,,
1.72,21424,,
1.76,21337,,
1.8,21705,,
1.84,21267,,
1.88,21418,,
1.92,21132,,
1.96,20357,,
2.0,21462,,
2.04,24481,,
2.08,24594,,
2.12,22290,,
2.16,21158,,
2.2,21477,,
2.24,21456,,
2.28,21894,,
2.32,22136,,
2.36,24452,,
2.4,29164,,
2.44,29347,,
2.48,25642,,
2.52,28166,,
2.56,25225,,
2.6,17459,,
2.64,27607,,
2.68,28787,,
2.72,21685,,
2.76,18984,,
2.8,19341,,
2.84,23879,,
2.88,24333,,
2.92,21683,,
2.96,21126,,
3.0,20704,,
3.04,20440,,
3.08,20056,,
3.12,19561,,
3.16,20577,,
3.2,22827,,
3.24,25765,,
3.28,27375,,
3.32,24868,,
3.36,27458,,
3.4,26758,,
3.44,24432,,
3.48,26009,,
3.52,25157,,
3.56,23340,,
3.6,19431,,
3.64,19569,,
3.68,23202,,
3.72,25916,,
3.76,27514,,
3.8,33166,,
3.84,28292,,
3.88,18134,,
3.92,20780,,
3.96,24618,,
4.0,27168,,
4.04,27960,,
4.08,24816,,
4.12,22119,,
4.16,22128,,
4.2,22156,,
4.24,23315,,
4.28,23924,,
4.32,22081,,
4.36,21494,,
4.4,23032,,
4.44,23111,,
4.48,21473,,
4.52,22314,,
4.56,22912,,
4.6,23727,,
4.64,24690,,
4.68,22957,,
4.72,22387,,
4.76,24136,,
4.8,22893,,
4.84,20296,,
4.88,21058,,
4.92,21843,,
5.0,26084,,
5.04,25247,,
5.08,24406,,
5.12,18201,,
5.16,21679,,
5.2,29633,,
5.24,20588,,
5.28,24728,,
5.32,25388,,
5.36,20177,,
5.4,25088,,
5.44,23980,,
5.48,20268,,
5.52,19699,,
5.56,23389,,
5.6,23027,,
5.64,25951,,
5.68,34008,,
5.72,32279,,
5.76,30668,,
5.8,29163,,
5.84,17687,,
5.88,13650,,
5.92,20903,,
6.0,18728,,
6.04,18720,,
6.08,24468,,
6.12,25932,,
6.16,26153,,
6.2,26037,,
6.24,24020,,
6.28,21391,,
6.32,21455,,
6.36,24023,,
6.4,24003,,
6.44,21718,,
6.48,22644,,
6.52,23041,,
6.56,18193,,
6.6,22763,,
6.64,23236,,
6.68,22303,,
6.72,26173,,
6.76,26709,,
6.8,23832,,
6.84,20243,,
6.88,20633,,
6.92,23918,,
7.0,24734,,
7.04,23389,,
7.08,22660,,
7.12,25028,,
7.16,22550,,
7.2,17924,,
7.24,17537,,
7.28,24047,,
7.32,23082,,
7.36,26197,,
7.4,25771,,
7.44,18985,,
7.48,14611,,
7.52,19080,,
7.56,28400,,
7.6,33288,,
7.64,28369,,
7.68,23401,,
7.72,21085,,
7.76,19499,,
7.8,23200,,
7.84,22881,,
7.88,17855,,
