Timestamp,Magnitude,Steps,Header
0.0,21428,55,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 3, 'low_power': 0, 'bwf_mode': 1, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689615}"
0.04,22879,,
0.08,22276,,
0.12,21990,,
0.16,23386,,
0.2,25065,,
0.24,25523,,
0.28,22350,,
0.32,20596,,
0.36,21035,,
1.0,19701,,
1.04,19992,,
1.08,19612,,
1.12,19817,,
1.16,20524,,
1.2,20370,,
1.24,20442,,
1.28,20177,,
1.32,19960,,
1.36,20306,,
1.4,20404,,
1.44,19780,,
1.48,18166,,
1.52,16482,,
1.56,15698,,
1.6,16847,,
1.64,19733,,
1.68,22536,,
1.72,22961,,
1.76,21745,,
1.8,20900,,
1.84,20736,,
1.88,20234,,
1.92,19586,,
2.0,19691,,
2.04,19047,,
2.08,18398,,
2.12,18238,,
2.16,19112,,
2.2,19830,,
2.24,20604,,
2.28,21343,,
2.32,21510,,
2.36,21336,,
2.4,20285,,
2.44,20254,,
2.48,21425,,
2.52,21729,,
2.56,20817,,
2.6,20344,,
2.64,20494,,
2.68,20301,,
2.72,19474,,
2.76,19447,,
2.8,20076,,
2.84,20231,,
2.88,20554,,
2.92,20341,,
3.0,20277,,
3.04,21107,,
3.08,21955,,
3.12,22244,,
3.16,21662,,
3.2,24139,,
3.24,26018,,
3.28,23476,,
3.32,20728,,
3.36,17927,,
3.4,16850,,
3.44,17297,,
3.48,18810,,
3.52,20200,,
3.56,19828,,
3.6,19027,,
3.64,17914,,
3.68,17091,,
3.72,18555,,
3.76,20026,,
3.8,19727,,
3.84,18849,,
3.88,17486,,
3.92,16478,,
4.0,16873,,
4.04,21267,,
4.08,22895,,
4.12,27107,,
4.16,34001,,
4.2,42325,,
4.24,48101,,
4.28,46472,,
4.32,40802,,
4.36,32144,,
4.4,26885,,
4.44,22010,,
4.48,21376,,
4.52,20613,,
4.56,22356,,
4.6,22324,,
4.64,22808,,
4.68,22997,,
4.72,22942,,
4.76,22865,,
4.8,22836,,
4.84,22207,,
4.88,22257,,
4.92,22551,,
5.0,23227,,
5.04,23651,,
5.08,23747,,
5.12,23955,,
5.16,26818,,
5.2,29487,,
5.24,30062,,
5.28,30319,,
5.32,29581,,
5.36,28818,,
5.4,28466,,
5.44,27858,,
5.48,26825,,
5.52,25524,,
5.56,23806,,
5.6,22198,,
5.64,21107,,
5.68,20263,,
5.72,19477,,
5.76,19112,,
5.8,19615,,
5.84,21434,,
5.88,24140,,
5.92,25592,,
6.0,24851,,
6.04,24591,,
6.08,24581,,
6.12,24839,,
6.16,25385,,
6.2,26253,,
6.24,28200,,
6.28,30042,,
6.32,29490,,
6.36,27256,,
6.4,25182,,
6.44,23658,,
6.48,22820,,
6.52,22531,,
6.56,21931,,
6.6,21643,,
6.64,22321,,
6.68,23217,,
6.72,23735,,
6.76,23507,,
6.8,23097,,
6.84,23324,,
6.88,22630,,
6.92,21800,,
7.0,22447,,
7.04,22930,,
7.08,23006,,
7.12,22959,,
7.16,23333,,
7.2,23821,,
7.24,23841,,
7.28,23527,,
7.32,23206,,
7.36,22938,,
7.4,22835,,
7.44,23117,,
7.48,26268,,
7.52,29136,,
7.56,28293,,
7.6,25816,,
7.64,23323,,
7.68,22097,,
7.72,22363,,
7.76,23307,,
7.8,23365,,
7.84,22961,,
7.88,22411,,
7.92,22061,,
8.0,22531,,
8.04,23159,,
8.08,23655,,
8.12,23564,,
8.16,23744,,
8.2,24230,,
8.24,24520,,
8.28,24630,,
8.32,24780,,
8.36,24996,,
8.4,24941,,
8.44,24501,,
8.48,24380,,
8.52,24266,,
8.56,24099,,
8.6,24009,,
8.64,23732,,
8.68,23215,,
8.72,22816,,
8.76,22820,,
8.8,24139,,
8.84,26532,,
8.88,26149,,
8.92,24928,,
9.0,24149,,
9.04,23314,,
9.08,22977,,
9.12,23259,,
9.16,22960,,
9.2,22758,,
9.24,22847,,
9.28,22701,,
9.32,22824,,
9.36,23156,,
9.4,23135,,
9.44,23114,,
9.48,23307,,
9.52,23525,,
9.56,23852,,
9.6,24154,,
9.64,24069,,
9.68,23566,,
9.72,22907,,
9.76,22634,,
9.8,23070,,
9.84,23308,,
9.88,22885,,
9.92,22749,,
10.0,23580,,
10.04,23179,,
10.08,22593,,
10.12,22302,,
10.16,22408,,
10.2,22980,,
10.24,23129,,
10.28,22936,,
10.32,22814,,
10.36,22375,,
10.4,21848,,
10.44,21793,,
10.48,22138,,
10.52,22520,,
10.56,22903,,
10.6,23281,,
10.64,25917,,
10.68,28627,,
10.72,28391,,
10.76,26968,,
10.8,24851,,
