Timestamp,Magnitude,Steps,Header
0.0,19528,0,"{'version': 1, 'device_state': {'mode': 0, 'data_rate': 3, 'low_power': 0, 'bwf_mode': 0, 'range': 0, 'filter': 0, 'low_noise': 0}, 'data_type': 2, 'index': 1, 'start_ts': 1735689748}"
0.04,21396,,
0.08,18643,,
0.12,18426,,
0.16,18399,,
0.2,17723,,
0.24,18341,,
0.28,18637,,
0.32,18568,,
0.36,18676,,
0.4,18486,,
0.44,18874,,
0.48,18683,,
0.52,18817,,
0.56,19367,,
0.6,22701,,
0.64,23100,,
0.68,24059,,
0.72,20977,,
1.0,16691,,
1.04,17532,,
1.08,21128,,
1.12,21787,,
1.16,26514,,
1.2,31100,,
1.24,30442,,
1.28,29700,,
1.32,26714,,
1.36,36353,,
1.4,22515,,
1.44,24476,,
1.48,19654,,
1.52,21737,,
1.56,22913,,
1.6,21020,,
1.64,21502,,
1.68,20964,,
1.72,21568,,
1.76,22030,,
1.8,22037,,
1.84,22082,,
1.88,22172,,
1.92,22162,,
2.0,21952,,
2.04,21760,,
2.08,22107,,
2.12,22497,,
2.16,22897,,
2.2,23166,,
2.24,23191,,
2.28,23119,,
2.32,22820,,
2.36,23188,,
2.4,23585,,
2.44,23454,,
2.48,23509,,
2.52,23571,,
2.56,23464,,
2.6,23364,,
2.64,23410,,
2.68,23602,,
2.72,23478,,
2.76,23530,,
2.8,23741,,
2.84,23546,,
2.88,23474,,
2.92,23378,,
2.96,23389,,
3.0,23451,,
3.04,23235,,
3.08,23235,,
3.12,23281,,
3.16,23564,,
3.2,23380,,
3.24,23388,,
3.28,23419,,
3.32,23291,,
3.36,23341,,
3.4,23481,,
3.44,23449,,
3.48,23249,,
3.52,23588,,
3.56,23418,,
3.6,23464,,
3.64,23376,,
3.68,23266,,
3.72,23355,,
3.76,23485,,
3.8,23412,,
3.84,23653,,
3.88,23061,,
3.92,23373,,
4.0,23298,,
4.04,23322,,
4.08,23464,,
4.12,23349,,
4.16,23478,,
4.2,23414,,
4.24,23566,,
4.28,23471,,
4.32,23020,,
4.36,23423,,
4.4,23141,,
4.44,23126,,
4.48,22974,,
4.52,22475,,
4.56,22670,,
4.6,22481,,
4.64,22578,,
4.68,22424,,
4.72,22265,,
4.76,22631,,
4.8,22897,,
4.84,22459,,
4.88,21978,,
4.92,21917,,
5.0,21337,,
5.04,18670,,
5.08,20455,,
5.12,19906,,
5.16,19621,,
5.2,19745,,
5.24,20004,,
5.28,19923,,
5.32,20734,,
5.36,20810,,
5.4,20891,,
5.44,20666,,
5.48,20451,,
5.52,20918,,
5.56,20549,,
5.6,21078,,
5.64,20806,,
5.68,20430,,
5.72,20538,,
5.76,20370,,
5.8,20105,,
5.84,20501,,
5.88,20406,,
5.92,20280,,
6.0,21137,,
6.04,21109,,
6.08,20504,,
6.12,20895,,
6.16,21594,,
6.2,22027,,
6.24,22301,,
6.28,22434,,
6.32,22949,,
6.36,23041,,
6.4,24042,,
6.44,23446,,
6.48,23324,,
6.52,23094,,
6.56,23002,,
6.6,23045,,
6.64,23291,,
6.68,23155,,
6.72,23042,,
6.76,23534,,
6.8,23170,,
6.84,22714,,
6.88,22985,,
6.92,22972,,
7.0,22404,,
7.04,22528,,
7.08,22572,,
7.12,22049,,
7.16,22457,,
7.2,22107,,
7.24,21872,,
7.28,22136,,
7.32,21736,,
7.36,22370,,
7.4,21956,,
7.44,23917,,
7.48,21956,,
7.52,22037,,
7.56,22254,,
7.6,22289,,
7.64,22162,,
7.68,22836,,
7.72,22853,,
7.76,22309,,
7.8,22563,,
7.84,22613,,
7.88,22425,,
7.92,23720,,
8.0,23314,,
8.04,20253,,
8.08,20972,,
8.12,21635,,
8.16,22182,,
8.2,22751,,
8.24,23016,,
8.28,22223,,
8.32,22685,,
8.36,22020,,
8.4,22538,,
8.44,22201,,
8.48,22195,,
8.52,22211,,
8.56,29464,,
8.6,24449,,
8.64,23735,,
8.68,23393,,
8.72,25508,,
8.76,28368,,
8.8,19207,,
8.84,18402,,
8.88,21782,,
8.92,22791,,
9.0,22256,,
9.04,23323,,
